<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.24	122950	124425	122700	124140	3366737	13710469	5
2021.05.25	124065	124930	122890	123315	3784471	15984650	5
2021.05.26	123520	124510	123505	123890	3376831	13901269	5
2021.05.27	123890	124740	123625	124600	3528123	15738571	5
2021.05.28	124840	125880	124350	125515	3190263	13552662	5
2021.05.31	125515	126340	125390	126140	2863533	11353150	5
2021.06.01	126600	128560	126345	128430	3418814	15208910	5
2021.06.02	128260	129675	128050	129430	3578740	15899265	5
2021.06.04	129105	130280	129105	130080	3886638	15915099	5
2021.06.07	130175	131360	129560	130515	4106576	18050957	5
2021.06.08	130605	130895	129320	130025	4324569	19705616	5
2021.06.09	130040	130960	129365	129765	4602259	20707106	5
2021.06.10	129800	130660	129500	130100	4755977	20864259	5
2021.06.11	130385	130425	128640	129560	3649464	14867216	5
2021.06.14	129760	131150	129650	130210	3815918	16997722	5
2021.06.15	130380	130385	129235	130075	4632594	19979054	5
2021.06.16	130705	131165	129085	129945	4627449	20603446	5
2021.06.17	129850	130745	128325	129290	4769277	20856293	5
2021.06.18	129350	129580	128250	128510	4721279	20191211	5
2021.06.21	128995	130230	128755	129900	3970089	16042274	5
2021.06.22	129915	129930	128480	129760	4298227	18764218	5
2021.06.23	129760	130645	128835	129240	3979650	17181714	5
2021.06.24	129685	130325	129500	130125	3851654	16508928	5
2021.06.25	130285	130450	127235	128145	4467254	19161765	5
2021.06.28	128045	128765	126945	128000	4429552	18774418	5
2021.06.29	127900	128100	126765	127775	4173063	18784731	5
2021.06.30	127400	127835	126750	126985	4248136	19711908	5
2021.07.01	127435	127735	125485	126080	4756819	21620870	5
2021.07.02	126300	128430	126080	128420	4022540	17271363	5
2021.07.05	128000	128235	127015	127700	3607328	14128714	5
2021.07.06	127525	127625	125300	125360	4660318	19925231	5
2021.07.07	125980	127745	125670	127395	4383205	19486281	5
2021.07.08	125680	126440	124725	125700	5006730	20676648	5
2021.07.12	126550	128500	126160	128500	3755903	17303921	5
2021.07.13	128175	128990	126820	128820	4577562	20670687	5
2021.07.14	128930	130140	128530	129000	4814009	21675259	5
2021.07.15	128570	129485	127305	128045	4767900	21129032	5
2021.07.16	128145	128530	126180	126455	4298524	18378380	5
2021.07.19	124750	125190	123660	125060	5378684	22219955	5
2021.07.20	125680	126060	123905	125580	5038200	21960209	5
2021.07.21	125750	126510	125530	126425	4339952	18448486	5
2021.07.22	126450	126820	125690	126575	3851995	17262828	5
2021.07.23	126900	126945	124685	124985	3564233	16028366	5
2021.07.26	125110	126580	125015	126215	3244259	15307632	5
2021.07.27	125865	125955	123945	124765	3976271	18246810	5
2021.07.28	125260	127060	125240	126305	4249564	19305780	5
2021.07.29	126415	127145	125140	125490	4139979	19291308	5
2021.07.30	124840	125245	121800	122340	4405471	20658210	5
2021.08.02	123695	124805	121985	123180	4704272	21173113	5
2021.08.03	123220	124020	120955	123230	5831482	22016279	5
2021.08.04	123230	123820	121135	122020	5874961	21535442	5
2021.08.05	123250	123800	120835	121100	5421221	20283425	5
2021.08.06	121520	123470	121100	123070	4630735	17005303	5
2021.08.09	122500	123790	122160	123015	4634214	18340996	5
2021.08.10	123285	123660	122150	122450	4872326	19298498	5
2021.08.11	122725	122900	120855	122130	5123495	20083892	5
2021.08.12	122390	122455	120370	120700	4812509	19088606	5
2021.08.13	120890	121335	119940	121195	5172695	19329100	5
2021.08.16	120550	120760	118700	119630	4898102	20537955	5
2021.08.17	119315	119340	116220	117150	6334671	26212646	5
2021.08.18	118890	119685	116470	116960	5836755	23094955	5
2021.08.19	115200	118415	114825	118040	6279816	24927564	5
2021.08.20	117280	119160	116425	118935	5178160	19632485	5
2021.08.23	119300	119595	117745	118060	5234321	20190189	5
