<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.24	09:00:00	122950	123150	122700	122970	419924	1385726	5
2021.05.24	10:00:00	122970	123810	122805	123785	739026	2906353	5
2021.05.24	11:00:00	123780	123825	123115	123220	468155	1953774	5
2021.05.24	12:00:00	123215	123560	123215	123510	313267	1263939	5
2021.05.24	13:00:00	123515	124075	123450	123935	360247	1493866	5
2021.05.24	14:00:00	123930	124270	123925	124190	303403	1324589	5
2021.05.24	15:00:00	124185	124315	123910	124200	312466	1431372	5
2021.05.24	16:00:00	124200	124425	124105	124250	315316	1405851	5
2021.05.24	17:00:00	124245	124290	124140	124140	134933	544999	5
2021.05.25	09:00:00	124065	124660	124055	124450	515526	1797836	5
2021.05.25	10:00:00	124445	124930	124210	124350	740623	2983314	5
2021.05.25	11:00:00	124350	124470	124005	124100	568741	2390664	5
2021.05.25	12:00:00	124100	124110	123545	123725	472684	2083313	5
2021.05.25	13:00:00	123725	123880	123565	123755	279095	1229356	5
2021.05.25	14:00:00	123760	123850	123260	123420	370313	1650467	5
2021.05.25	15:00:00	123420	123465	123070	123080	343333	1601087	5
2021.05.25	16:00:00	123080	123240	122890	123145	349652	1662964	5
2021.05.25	17:00:00	123145	123395	123135	123315	144504	585649	5
2021.05.26	09:00:00	123520	123860	123505	123580	423181	1522344	5
2021.05.26	10:00:00	123575	124365	123565	124245	838807	3244972	5
2021.05.26	11:00:00	124240	124400	124055	124380	438721	1815030	5
2021.05.26	12:00:00	124385	124510	124090	124275	410291	1704096	5
2021.05.26	13:00:00	124270	124380	124000	124190	295701	1293597	5
2021.05.26	14:00:00	124190	124275	123800	123960	319734	1410526	5
2021.05.26	15:00:00	123965	124115	123785	123985	270075	1218493	5
2021.05.26	16:00:00	123980	124265	123965	124260	265720	1224984	5
2021.05.26	17:00:00	124260	124260	123890	123890	114601	467227	5
2021.05.27	09:00:00	123890	124295	123875	124280	375757	1349943	5
2021.05.27	10:00:00	124275	124740	124205	124475	650400	2770707	5
2021.05.27	11:00:00	124470	124620	123975	124170	599331	2629077	5
2021.05.27	12:00:00	124165	124280	123915	123940	329399	1514562	5
2021.05.27	13:00:00	123940	124080	123625	123945	371634	1738394	5
2021.05.27	14:00:00	123945	124615	123920	124460	390840	1890231	5
2021.05.27	15:00:00	124465	124570	124295	124515	315375	1544403	5
2021.05.27	16:00:00	124510	124620	124325	124340	332874	1634258	5
2021.05.27	17:00:00	124345	124610	124325	124600	162513	666996	5
2021.05.28	09:00:00	124840	124880	124420	124505	390787	1363883	5
2021.05.28	10:00:00	124505	124850	124350	124800	677566	2763088	5
2021.05.28	11:00:00	124800	125145	124625	125030	558369	2327658	5
2021.05.28	12:00:00	125025	125320	124880	125230	315542	1350541	5
2021.05.28	13:00:00	125230	125365	125090	125250	245705	1102840	5
2021.05.28	14:00:00	125250	125710	125190	125555	329616	1559616	5
2021.05.28	15:00:00	125555	125820	125535	125800	267252	1265894	5
2021.05.28	16:00:00	125795	125880	125660	125675	243560	1172468	5
2021.05.28	17:00:00	125675	125800	125475	125515	161866	646674	5
2021.05.31	09:00:00	125515	125720	125390	125585	288271	993685	5
2021.05.31	10:00:00	125585	126015	125560	125985	535352	2180714	5
2021.05.31	11:00:00	125990	126130	125760	125985	433682	1791011	5
2021.05.31	12:00:00	125985	126010	125615	125860	381852	1586010	5
2021.05.31	13:00:00	125865	126060	125655	125925	289340	1226831	5
2021.05.31	14:00:00	125920	126130	125870	126065	272842	1031536	5
2021.05.31	15:00:00	126065	126180	125895	126020	246591	908121	5
2021.05.31	16:00:00	126020	126300	125910	126290	265529	1054555	5
2021.05.31	17:00:00	126295	126340	126105	126140	150074	580687	5
2021.06.01	09:00:00	126600	127390	126345	127350	572638	1986860	5
2021.06.01	10:00:00	127345	128495	127345	127895	798388	3538667	5
2021.06.01	11:00:00	127895	128300	127870	128145	489834	2110394	5
2021.06.01	12:00:00	128145	128480	128075	128265	383742	1844460	5
2021.06.01	13:00:00	128265	128495	128200	128325	274149	1324411	5
2021.06.01	14:00:00	128330	128380	128155	128305	292317	1362912	5
2021.06.01	15:00:00	128310	128420	128250	128325	237879	1230359	5
2021.06.01	16:00:00	128325	128560	128315	128475	238917	1243530	5
2021.06.01	17:00:00	128475	128485	128330	128430	130950	567317	5
2021.06.02	09:00:00	128260	128395	128050	128345	447111	1595911	5
2021.06.02	10:00:00	128340	128865	128240	128745	801241	3366910	5
2021.06.02	11:00:00	128740	128985	128685	128875	483447	2096399	5
2021.06.02	12:00:00	128875	129225	128780	129170	354142	1655689	5
2021.06.02	13:00:00	129175	129415	129120	129180	303387	1408605	5
2021.06.02	14:00:00	129180	129535	129155	129490	313248	1471313	5
2021.06.02	15:00:00	129490	129675	129405	129535	384735	1975186	5
2021.06.02	16:00:00	129540	129595	129265	129585	328413	1683029	5
2021.06.02	17:00:00	129580	129655	129335	129430	163016	646223	5
2021.06.04	09:00:00	129105	129745	129105	129330	594491	2029839	5
2021.06.04	10:00:00	129335	129970	129305	129960	738157	2907356	5
2021.06.04	11:00:00	129955	129990	129260	129350	642366	2657023	5
2021.06.04	12:00:00	129350	129920	129200	129530	478921	1986552	5
2021.06.04	13:00:00	129535	129795	129450	129525	331892	1415291	5
2021.06.04	14:00:00	129530	129935	129390	129935	377561	1635707	5
2021.06.04	15:00:00	129935	130280	129735	130185	385133	1755821	5
2021.06.04	16:00:00	130185	130270	130055	130185	223611	1078883	5
2021.06.04	17:00:00	130180	130220	129975	130080	114506	448627	5
2021.06.07	09:00:00	130175	130185	129735	129800	529740	1796072	5
2021.06.07	10:00:00	129795	130130	129645	129690	855528	3537130	5
2021.06.07	11:00:00	129690	130265	129560	130215	635556	2836558	5
2021.06.07	12:00:00	130215	130650	130055	130600	511526	2322022	5
2021.06.07	13:00:00	130600	131075	130550	130970	439350	2047037	5
