<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.17	15:45:00	116165	116190	116100	116185	25237	93126	5
2022.10.17	15:50:00	116180	116230	116160	116210	28475	111727	5
2022.10.17	15:55:00	116205	116295	116190	116245	29038	113630	5
2022.10.17	16:00:00	116245	116390	116180	116215	52248	202490	5
2022.10.17	16:05:00	116215	116245	116120	116160	32801	124587	5
2022.10.17	16:10:00	116155	116180	116105	116125	18328	63718	5
2022.10.17	16:15:00	116120	116150	116010	116095	33978	129589	5
2022.10.17	16:20:00	116095	116145	116000	116065	32979	126663	5
2022.10.17	16:25:00	116060	116065	115990	116045	22143	86614	5
2022.10.17	16:30:00	116045	116090	115940	116025	34610	125590	5
2022.10.17	16:35:00	116025	116030	115940	115980	23001	85042	5
2022.10.17	16:40:00	115980	116065	115935	116030	30718	123826	5
2022.10.17	16:45:00	116025	116040	115830	115870	37327	143405	5
2022.10.17	16:50:00	115875	115930	115840	115885	23951	91235	5
2022.10.17	16:55:00	115890	115890	115705	115810	36734	140358	5
2022.10.17	17:00:00	115810	115815	115735	115750	17852	56776	5
2022.10.17	17:05:00	115750	115825	115720	115815	17248	58977	5
2022.10.17	17:10:00	115820	115820	115670	115745	21543	76540	5
2022.10.17	17:15:00	115745	115880	115670	115840	25960	96227	5
2022.10.17	17:20:00	115845	115915	115820	115890	18324	66898	5
2022.10.17	17:25:00	115885	115900	115855	115875	7707	24006	5
2022.10.17	17:30:00	115870	115890	115765	115820	14266	48109	5
2022.10.17	17:35:00	115815	115970	115805	115915	19732	65020	5
2022.10.17	17:40:00	115915	116020	115875	116005	18838	60243	5
2022.10.17	17:45:00	116010	116130	115970	116110	15919	48754	5
2022.10.17	17:50:00	116110	116115	115910	115910	6809	25250	5
2022.10.18	09:00:00	116945	116970	116570	116590	71450	167646	5
2022.10.18	09:05:00	116595	116645	116510	116520	41514	124784	5
2022.10.18	09:10:00	116525	116860	116500	116835	58075	180662	5
2022.10.18	09:15:00	116835	116940	116795	116870	44142	128407	5
2022.10.18	09:20:00	116870	117050	116860	117025	49134	147838	5
2022.10.18	09:25:00	117030	117105	116975	117080	41438	120520	5
2022.10.18	09:30:00	117080	117175	117005	117170	51073	155920	5
2022.10.18	09:35:00	117170	117195	117065	117110	36991	115270	5
2022.10.18	09:40:00	117110	117140	117060	117090	24409	79135	5
2022.10.18	09:45:00	117090	117220	117065	117195	37058	110780	5
2022.10.18	09:50:00	117190	117285	117125	117240	53230	168330	5
2022.10.18	09:55:00	117240	117400	117195	117395	67552	222188	5
2022.10.18	10:00:00	117395	117535	117305	117500	79574	279328	5
2022.10.18	10:05:00	117500	117585	117425	117470	62820	232666	5
2022.10.18	10:10:00	117470	117515	117325	117340	74000	245657	5
2022.10.18	10:15:00	117335	117345	117170	117260	70170	231257	5
2022.10.18	10:20:00	117260	117400	117210	117360	59486	187987	5
2022.10.18	10:25:00	117360	117540	117325	117520	75362	236320	5
2022.10.18	10:30:00	117515	117695	117440	117545	109825	368987	5
2022.10.18	10:35:00	117545	117680	117425	117535	75205	255418	5
2022.10.18	10:40:00	117530	117640	117320	117610	88221	310277	5
2022.10.18	10:45:00	117610	117625	117345	117590	81837	284121	5
2022.10.18	10:50:00	117585	117725	117365	117385	97285	312151	5
2022.10.18	10:55:00	117385	117665	117380	117455	77148	249008	5
2022.10.18	11:00:00	117455	117645	117415	117640	53991	181104	5
2022.10.18	11:05:00	117640	117680	117490	117560	58263	201478	5
2022.10.18	11:10:00	117560	117600	117435	117525	46835	163003	5
2022.10.18	11:15:00	117525	117555	117345	117355	62126	214967	5
2022.10.18	11:20:00	117360	117385	117070	117140	91821	319014	5
2022.10.18	11:25:00	117140	117160	116950	116970	64918	224680	5
2022.10.18	11:30:00	116965	117030	116830	116870	61491	216791	5
2022.10.18	11:35:00	116865	116890	116660	116765	63156	225029	5
2022.10.18	11:40:00	116770	116880	116695	116865	55092	198291	5
2022.10.18	11:45:00	116870	117065	116815	117030	60632	206000	5
2022.10.18	11:50:00	117030	117070	116905	116975	51335	171898	5
2022.10.18	11:55:00	116980	117040	116855	116930	63111	216211	5
2022.10.18	12:00:00	116930	117015	116775	116945	70860	232676	5
2022.10.18	12:05:00	116940	116955	116675	116710	50301	167889	5
2022.10.18	12:10:00	116715	116840	116445	116505	85982	307102	5
2022.10.18	12:15:00	116505	116570	116370	116455	56284	190787	5
2022.10.18	12:20:00	116460	116515	116230	116265	60678	200442	5
2022.10.18	12:25:00	116265	116390	116205	116375	49687	167369	5
2022.10.18	12:30:00	116380	116405	116265	116390	45478	147821	5
2022.10.18	12:35:00	116390	116430	116285	116385	40264	130393	5
2022.10.18	12:40:00	116380	116480	116330	116470	38055	134843	5
2022.10.18	12:45:00	116470	116565	116440	116535	33272	113522	5
2022.10.18	12:50:00	116535	116700	116495	116655	39010	141111	5
2022.10.18	12:55:00	116660	116670	116480	116480	42223	149734	5
2022.10.18	13:00:00	116475	116560	116410	116460	40086	135967	5
2022.10.18	13:05:00	116455	116760	116385	116745	59937	206619	5
2022.10.18	13:10:00	116750	116820	116715	116815	38057	134931	5
2022.10.18	13:15:00	116820	116850	116605	116630	45496	153184	5
2022.10.18	13:20:00	116630	116630	116480	116490	34759	116160	5
2022.10.18	13:25:00	116485	116560	116450	116550	31399	105842	5
2022.10.18	13:30:00	116550	116720	116495	116705	35477	125447	5
2022.10.18	13:35:00	116700	116875	116680	116850	42879	147797	5
2022.10.18	13:40:00	116845	116930	116800	116820	33671	117802	5
2022.10.18	13:45:00	116820	116845	116720	116840	34863	120459	5
2022.10.18	13:50:00	116840	116920	116785	116910	29997	100457	5
2022.10.18	13:55:00	116905	116940	116735	116750	36316	125870	5
2022.10.18	14:00:00	116745	116895	116625	116655	57479	208534	5
2022.10.18	14:05:00	116650	116765	116635	116720	36670	127226	5
2022.10.18	14:10:00	116725	116855	116675	116850	37158	134150	5
2022.10.18	14:15:00	116850	116910	116820	116895	33018	118726	5
2022.10.18	14:20:00	116900	116960	116820	116925	37694	139830	5
2022.10.18	14:25:00	116930	117100	116915	117080	47848	184306	5
2022.10.18	14:30:00	117080	117170	116940	117170	49730	176067	5
2022.10.18	14:35:00	117170	117215	117130	117165	34438	124178	5
2022.10.18	14:40:00	117165	117250	117085	117110	41386	149824	5
2022.10.18	14:45:00	117115	117160	117040	117105	32967	119888	5
